user_id,signup_date,city_tier,segment,preferred_device,lifetime_sessions,lifetime_orders,first_order_date,last_order_date,total_spend,repeat_rate_flag,user_value_band
U000069,2025-08-24,2,premium,web,4.0,0.0,,,0.0,False,No Purchase
U000070,2025-07-18,1,value,web,7.0,1.0,2026-01-04 00:18:42,2026-01-04 00:18:42,7896.56,False,High
U000071,2025-09-23,1,regular,mobile,3.0,0.0,,,0.0,False,No Purchase
U000072,2025-08-24,3,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000073,2025-12-26,2,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000074,2025-07-01,3,value,web,2.0,0.0,,,0.0,False,No Purchase
U000075,2025-11-03,1,value,mobile,3.0,0.0,,,0.0,False,No Purchase
U000076,2025-12-30,2,value,mobile,4.0,0.0,,,0.0,False,No Purchase
U000077,2026-01-14,1,regular,web,6.0,0.0,,,0.0,False,No Purchase
U000078,2025-11-06,2,premium,web,2.0,0.0,,,0.0,False,No Purchase
U000079,2026-01-08,1,regular,mobile,4.0,0.0,,,0.0,False,No Purchase
U000080,2025-07-09,1,regular,web,8.0,0.0,,,0.0,False,No Purchase
U000081,2025-09-06,3,premium,mobile,5.0,0.0,,,0.0,False,No Purchase
U000082,2025-06-25,2,regular,mobile,6.0,1.0,2026-01-12 11:52:48,2026-01-12 11:52:48,8970.92,False,High
U000083,2026-01-15,2,value,mobile,4.0,0.0,,,0.0,False,No Purchase
U000084,2025-12-30,2,premium,web,2.0,0.0,,,0.0,False,No Purchase
U000085,2025-06-29,2,regular,mobile,1.0,0.0,,,0.0,False,No Purchase
U000086,2025-06-27,2,value,web,5.0,0.0,,,0.0,False,No Purchase
U000087,2025-09-08,1,regular,mobile,1.0,0.0,,,0.0,False,No Purchase
U000088,2025-08-16,3,premium,web,8.0,0.0,,,0.0,False,No Purchase
U000089,2025-12-18,3,value,mobile,5.0,0.0,,,0.0,False,No Purchase
U000090,2025-07-27,3,regular,mobile,4.0,0.0,,,0.0,False,No Purchase
U000091,2025-12-06,2,value,web,3.0,0.0,,,0.0,False,No Purchase
U000092,2025-10-17,1,value,web,2.0,0.0,,,0.0,False,No Purchase
U000093,2025-09-10,3,value,mobile,6.0,1.0,2026-01-16 07:19:58,2026-01-16 07:19:58,10516.94,False,High
U000094,2025-07-24,2,regular,web,4.0,0.0,,,0.0,False,No Purchase
U000095,2026-01-18,1,premium,web,2.0,0.0,,,0.0,False,No Purchase
U000096,2025-10-31,2,value,web,1.0,0.0,,,0.0,False,No Purchase
U000097,2025-09-23,3,value,mobile,2.0,0.0,,,0.0,False,No Purchase
U000098,2025-09-09,2,value,mobile,2.0,0.0,,,0.0,False,No Purchase
U000099,2025-12-30,3,value,web,2.0,0.0,,,0.0,False,No Purchase
U000100,2025-12-12,3,regular,mobile,0.0,0.0,,,0.0,False,No Purchase
U000101,2025-12-10,1,regular,web,3.0,1.0,2025-12-04 14:05:19,2025-12-04 14:05:19,6894.45,False,High
U000102,2025-10-30,3,regular,web,1.0,0.0,,,0.0,False,No Purchase
U000103,2025-12-26,2,regular,web,0.0,0.0,,,0.0,False,No Purchase
U000104,2025-08-25,2,regular,web,4.0,0.0,,,0.0,False,No Purchase
U000105,2025-11-18,1,value,web,3.0,0.0,,,0.0,False,No Purchase
U000106,2025-09-16,3,value,mobile,1.0,0.0,,,0.0,False,No Purchase
U000107,2025-10-27,2,premium,web,4.0,0.0,,,0.0,False,No Purchase
U000108,2026-01-19,1,regular,mobile,3.0,0.0,,,0.0,False,No Purchase
U000109,2026-01-16,2,premium,web,3.0,0.0,,,0.0,False,No Purchase
U000110,2025-10-09,1,premium,web,3.0,1.0,2025-12-16 01:26:55,2025-12-16 01:26:55,7500.35,False,High
U000111,2025-10-21,1,regular,web,3.0,0.0,,,0.0,False,No Purchase
U000112,2025-12-28,2,premium,mobile,4.0,0.0,,,0.0,False,No Purchase
U000113,2026-01-16,2,regular,mobile,2.0,1.0,2025-11-05 23:33:47,2025-11-05 23:33:47,4696.73,False,High
U000114,2025-12-03,3,value,web,5.0,1.0,2025-10-28 14:19:24,2025-10-28 14:19:24,7094.32,False,High
U000115,2025-07-07,2,value,web,3.0,0.0,,,0.0,False,No Purchase
U000116,2025-08-30,3,value,web,3.0,0.0,,,0.0,False,No Purchase
U000117,2025-12-28,2,value,mobile,3.0,0.0,,,0.0,False,No Purchase
U000118,2025-12-01,2,regular,web,5.0,0.0,,,0.0,False,No Purchase
U000119,2025-11-26,2,regular,mobile,4.0,0.0,,,0.0,False,No Purchase
U000120,2025-11-10,2,regular,web,5.0,0.0,,,0.0,False,No Purchase
U000121,2025-09-18,3,regular,web,1.0,0.0,,,0.0,False,No Purchase
U000122,2025-09-16,2,value,mobile,3.0,0.0,,,0.0,False,No Purchase
U000123,2025-12-10,1,regular,web,4.0,1.0,2026-01-14 22:52:55,2026-01-14 22:52:55,13081.56,False,High
U000124,2025-08-24,2,regular,web,3.0,0.0,,,0.0,False,No Purchase
U000125,2025-11-14,3,value,mobile,6.0,0.0,,,0.0,False,No Purchase
U000126,2025-11-22,1,value,web,1.0,0.0,,,0.0,False,No Purchase
U000127,2025-12-17,2,value,web,2.0,0.0,,,0.0,False,No Purchase
U000128,2025-08-29,3,value,web,2.0,0.0,,,0.0,False,No Purchase
U000129,2025-11-26,3,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000130,2025-07-15,3,regular,mobile,3.0,0.0,,,0.0,False,No Purchase
U000131,2025-07-22,2,regular,web,5.0,0.0,,,0.0,False,No Purchase
U000132,2025-09-19,2,value,mobile,6.0,0.0,,,0.0,False,No Purchase
U000133,2025-07-05,2,regular,mobile,3.0,0.0,,,0.0,False,No Purchase
U000134,2026-01-08,3,regular,mobile,7.0,0.0,,,0.0,False,No Purchase
U000135,2025-12-29,2,value,mobile,1.0,0.0,,,0.0,False,No Purchase
U000136,2025-07-03,3,regular,mobile,0.0,0.0,,,0.0,False,No Purchase
U000137,2025-12-16,2,regular,mobile,3.0,0.0,,,0.0,False,No Purchase
U000138,2025-10-08,2,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000139,2025-11-17,3,value,web,1.0,0.0,,,0.0,False,No Purchase
U000140,2025-12-26,2,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000141,2025-10-22,3,value,web,4.0,0.0,,,0.0,False,No Purchase
U000142,2025-07-17,2,value,mobile,4.0,2.0,2025-12-16 23:21:24,2025-12-21 23:39:21,19102.239999999998,True,High
U000143,2025-06-23,2,value,web,4.0,0.0,,,0.0,False,No Purchase
U000144,2025-10-05,2,premium,mobile,4.0,0.0,,,0.0,False,No Purchase
U000145,2026-01-08,2,value,web,2.0,0.0,,,0.0,False,No Purchase
U000146,2025-10-21,2,regular,mobile,3.0,1.0,2025-12-03 17:49:48,2025-12-03 17:49:48,5871.83,False,High
U000147,2025-09-09,1,value,web,5.0,0.0,,,0.0,False,No Purchase
U000148,2025-06-29,1,premium,web,3.0,1.0,2025-11-23 00:50:48,2025-11-23 00:50:48,2405.75,False,High
U000149,2026-01-01,2,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000150,2025-08-31,2,premium,mobile,3.0,0.0,,,0.0,False,No Purchase
U000151,2025-11-18,2,value,mobile,2.0,0.0,,,0.0,False,No Purchase
U000152,2025-11-16,1,value,mobile,5.0,0.0,,,0.0,False,No Purchase
U000153,2025-08-15,2,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000154,2025-07-06,1,value,mobile,1.0,0.0,,,0.0,False,No Purchase
U000155,2025-09-12,3,regular,web,0.0,0.0,,,0.0,False,No Purchase
U000156,2025-08-29,3,premium,web,3.0,0.0,,,0.0,False,No Purchase
U000157,2025-11-17,1,regular,web,5.0,1.0,2026-01-04 15:20:57,2026-01-04 15:20:57,6058.84,False,High
U000158,2025-12-12,2,premium,web,2.0,0.0,,,0.0,False,No Purchase
U000159,2025-08-09,1,regular,mobile,0.0,0.0,,,0.0,False,No Purchase
U000160,2025-10-12,2,value,mobile,5.0,0.0,,,0.0,False,No Purchase
U000161,2025-07-01,1,regular,web,3.0,0.0,,,0.0,False,No Purchase
U000162,2025-08-07,2,value,mobile,2.0,0.0,,,0.0,False,No Purchase
U000163,2025-11-30,2,regular,web,4.0,1.0,2025-12-15 20:22:28,2025-12-15 20:22:28,7014.68,False,High
U000164,2025-12-07,3,value,web,4.0,0.0,,,0.0,False,No Purchase
U000165,2025-12-03,1,value,mobile,5.0,1.0,2025-10-29 01:48:15,2025-10-29 01:48:15,8193.03,False,High
U000166,2025-07-23,2,regular,web,0.0,0.0,,,0.0,False,No Purchase
U000167,2025-10-17,3,value,web,4.0,0.0,,,0.0,False,No Purchase
U000168,2025-09-20,3,value,mobile,2.0,2.0,2025-10-23 11:12:57,2025-12-11 10:37:48,5260.25,True,High
U000169,2026-01-17,2,regular,web,6.0,2.0,2025-12-01 04:26:15,2025-12-02 02:56:55,12280.47,True,High
U000170,2025-11-07,2,value,web,1.0,0.0,,,0.0,False,No Purchase
U000171,2026-01-05,2,regular,mobile,7.0,0.0,,,0.0,False,No Purchase
U000172,2025-07-23,2,value,web,6.0,0.0,,,0.0,False,No Purchase
U000173,2025-09-26,3,value,mobile,4.0,0.0,,,0.0,False,No Purchase
U000174,2025-12-02,2,value,mobile,1.0,0.0,,,0.0,False,No Purchase
U000175,2025-09-08,2,regular,web,4.0,0.0,,,0.0,False,No Purchase
U000176,2025-11-03,1,premium,web,2.0,0.0,,,0.0,False,No Purchase
U000177,2025-10-08,2,value,web,3.0,0.0,,,0.0,False,No Purchase
U000178,2026-01-17,3,premium,mobile,8.0,1.0,2025-11-25 09:53:13,2025-11-25 09:53:13,3139.82,False,High
U000179,2025-07-29,2,regular,web,6.0,1.0,2025-12-09 13:24:47,2025-12-09 13:24:47,3384.29,False,High
U000180,2026-01-05,2,regular,mobile,5.0,0.0,,,0.0,False,No Purchase
U000181,2025-09-15,3,regular,web,3.0,0.0,,,0.0,False,No Purchase
U000182,2025-09-29,3,regular,mobile,3.0,0.0,,,0.0,False,No Purchase
U000183,2025-10-12,2,regular,web,8.0,0.0,,,0.0,False,No Purchase
U000184,2025-08-18,2,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000185,2026-01-11,2,regular,web,1.0,0.0,,,0.0,False,No Purchase
U000186,2025-12-31,2,value,mobile,1.0,0.0,,,0.0,False,No Purchase
U000187,2026-01-13,2,value,mobile,3.0,1.0,2025-12-01 14:29:39,2025-12-01 14:29:39,12824.15,False,High
U000188,2026-01-18,1,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000189,2025-11-11,3,value,web,5.0,0.0,,,0.0,False,No Purchase
U000190,2025-09-26,3,value,web,5.0,0.0,,,0.0,False,No Purchase
U000191,2025-12-19,3,value,web,4.0,0.0,,,0.0,False,No Purchase
U000192,2025-06-28,3,value,mobile,1.0,0.0,,,0.0,False,No Purchase
U000193,2025-12-15,3,regular,mobile,3.0,0.0,,,0.0,False,No Purchase
U000194,2025-10-05,3,regular,mobile,4.0,1.0,2026-01-15 22:53:20,2026-01-15 22:53:20,2848.01,False,High
U000195,2025-11-11,3,regular,web,4.0,0.0,,,0.0,False,No Purchase
U000196,2025-09-09,2,value,web,3.0,1.0,2025-12-31 20:51:04,2025-12-31 20:51:04,2865.2,False,High
U000197,2025-09-08,2,regular,mobile,5.0,0.0,,,0.0,False,No Purchase
U000198,2025-06-30,1,regular,web,6.0,2.0,2025-12-12 01:00:34,2026-01-15 15:01:09,20890.89,True,High
U000199,2025-09-20,2,regular,mobile,3.0,0.0,,,0.0,False,No Purchase
U000200,2025-09-17,2,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000201,2025-08-09,2,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000202,2025-08-14,2,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000203,2025-10-24,2,premium,web,0.0,0.0,,,0.0,False,No Purchase
U000204,2025-08-29,1,regular,mobile,2.0,1.0,2025-11-23 19:31:22,2025-11-23 19:31:22,10781.8,False,High
U000205,2025-12-14,3,regular,web,4.0,1.0,2025-11-23 19:54:59,2025-11-23 19:54:59,3467.37,False,High
U000206,2025-07-16,3,regular,web,3.0,1.0,2025-12-04 05:09:20,2025-12-04 05:09:20,13218.3,False,High
U000207,2025-10-22,1,value,web,2.0,1.0,2025-12-27 04:54:16,2025-12-27 04:54:16,11093.67,False,High
U000208,2025-07-27,1,premium,web,2.0,0.0,,,0.0,False,No Purchase
U000209,2025-10-12,2,value,web,4.0,0.0,,,0.0,False,No Purchase
U000210,2025-10-17,3,value,web,2.0,0.0,,,0.0,False,No Purchase
U000211,2025-11-05,3,premium,mobile,2.0,1.0,2025-12-01 03:11:40,2025-12-01 03:11:40,11109.92,False,High
U000212,2025-09-21,1,regular,mobile,0.0,0.0,,,0.0,False,No Purchase
U000213,2025-10-08,3,value,web,4.0,0.0,,,0.0,False,No Purchase
U000214,2025-07-31,1,value,web,2.0,0.0,,,0.0,False,No Purchase
U000215,2025-09-28,2,value,web,3.0,2.0,2025-11-01 19:18:39,2025-11-26 11:18:12,13159.98,True,High
U000216,2025-09-09,3,regular,mobile,5.0,0.0,,,0.0,False,No Purchase
U000217,2025-11-10,1,value,mobile,4.0,1.0,2025-11-20 09:10:14,2025-11-20 09:10:14,1656.65,False,High
U000218,2025-09-22,1,premium,web,6.0,0.0,,,0.0,False,No Purchase
U000219,2025-12-04,2,premium,web,2.0,0.0,,,0.0,False,No Purchase
U000220,2025-09-20,2,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000221,2025-08-11,3,regular,web,3.0,0.0,,,0.0,False,No Purchase
U000222,2025-08-19,3,value,web,1.0,0.0,,,0.0,False,No Purchase
U000223,2025-07-02,1,value,mobile,1.0,0.0,,,0.0,False,No Purchase
U000224,2025-10-14,1,regular,web,2.0,1.0,2026-01-09 19:06:07,2026-01-09 19:06:07,11804.6,False,High
U000225,2025-12-14,3,value,web,4.0,0.0,,,0.0,False,No Purchase
U000226,2025-12-01,2,value,web,5.0,0.0,,,0.0,False,No Purchase
U000227,2025-09-23,3,value,mobile,5.0,2.0,2025-11-13 13:26:46,2025-12-17 11:34:39,10729.46,True,High
U000228,2025-08-03,2,value,web,1.0,0.0,,,0.0,False,No Purchase
U000229,2025-12-21,1,regular,web,5.0,0.0,,,0.0,False,No Purchase
U000230,2025-07-05,3,regular,web,4.0,0.0,,,0.0,False,No Purchase
U000231,2025-09-15,1,regular,mobile,4.0,0.0,,,0.0,False,No Purchase
U000232,2025-12-20,2,regular,web,6.0,0.0,,,0.0,False,No Purchase
U000233,2025-09-14,2,regular,mobile,1.0,0.0,,,0.0,False,No Purchase
U000234,2025-07-18,2,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000235,2025-08-18,2,regular,web,4.0,1.0,2025-11-23 05:42:22,2025-11-23 05:42:22,14063.86,False,High
U000236,2025-10-27,2,regular,mobile,5.0,0.0,,,0.0,False,No Purchase
U000237,2025-07-25,3,value,mobile,2.0,0.0,,,0.0,False,No Purchase
U000238,2025-11-07,3,premium,web,3.0,0.0,,,0.0,False,No Purchase
U000239,2025-09-23,2,value,mobile,4.0,0.0,,,0.0,False,No Purchase
U000240,2025-09-01,1,value,web,9.0,0.0,,,0.0,False,No Purchase
U000241,2025-08-13,3,value,web,5.0,2.0,2025-11-04 14:19:10,2025-11-24 19:13:57,15728.330000000002,True,High
U000242,2025-12-13,3,regular,mobile,3.0,0.0,,,0.0,False,No Purchase
U000243,2025-09-14,2,regular,mobile,4.0,0.0,,,0.0,False,No Purchase
U000244,2025-11-25,2,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000245,2025-09-23,2,premium,mobile,3.0,0.0,,,0.0,False,No Purchase
U000246,2025-07-12,1,value,web,5.0,1.0,2026-01-11 08:39:04,2026-01-11 08:39:04,3356.89,False,High
U000247,2025-09-23,2,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000248,2025-10-08,2,value,mobile,3.0,0.0,,,0.0,False,No Purchase
U000249,2025-09-27,3,regular,web,6.0,2.0,2025-11-03 09:30:12,2026-01-07 02:31:55,9584.93,True,High
U000250,2025-12-11,3,value,mobile,3.0,1.0,2026-01-02 20:11:38,2026-01-02 20:11:38,3388.02,False,High
U000251,2025-12-31,3,value,mobile,3.0,0.0,,,0.0,False,No Purchase
U000252,2025-12-05,2,regular,mobile,4.0,1.0,2025-10-22 10:11:15,2025-10-22 10:11:15,1049.49,False,High
U000253,2025-10-23,2,regular,web,4.0,0.0,,,0.0,False,No Purchase
U000254,2025-10-15,3,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000255,2025-11-05,3,regular,mobile,4.0,1.0,2025-11-09 04:17:13,2025-11-09 04:17:13,952.32,False,High
U000256,2025-08-22,2,regular,mobile,4.0,2.0,2025-10-21 14:41:34,2025-12-25 06:15:33,5247.93,True,High
U000257,2025-12-10,3,regular,web,6.0,1.0,2026-01-16 21:38:10,2026-01-16 21:38:10,2335.03,False,High
U000258,2025-12-20,1,value,web,3.0,1.0,2026-01-12 11:55:50,2026-01-12 11:55:50,5082.46,False,High
U000259,2025-08-18,3,value,web,2.0,0.0,,,0.0,False,No Purchase
U000260,2025-12-30,1,value,web,6.0,0.0,,,0.0,False,No Purchase
U000261,2025-12-18,1,value,web,3.0,0.0,,,0.0,False,No Purchase
U000262,2025-09-20,2,regular,mobile,7.0,0.0,,,0.0,False,No Purchase
U000263,2025-12-31,1,regular,mobile,0.0,0.0,,,0.0,False,No Purchase
U000264,2025-07-18,1,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000265,2025-06-29,1,regular,web,3.0,0.0,,,0.0,False,No Purchase
U000266,2025-09-04,2,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000267,2025-10-20,3,regular,web,4.0,0.0,,,0.0,False,No Purchase
U000268,2025-09-05,1,value,mobile,4.0,1.0,2025-10-26 05:46:16,2025-10-26 05:46:16,12085.23,False,High
U000269,2026-01-07,2,value,web,3.0,1.0,2025-11-17 12:31:43,2025-11-17 12:31:43,14770.29,False,High
U000270,2025-08-15,3,regular,web,0.0,0.0,,,0.0,False,No Purchase
U000271,2025-08-21,1,regular,web,1.0,0.0,,,0.0,False,No Purchase
U000272,2025-11-03,1,value,mobile,3.0,0.0,,,0.0,False,No Purchase
U000273,2025-06-24,3,value,web,2.0,0.0,,,0.0,False,No Purchase
U000274,2025-11-23,3,regular,mobile,8.0,0.0,,,0.0,False,No Purchase
U000275,2025-09-10,2,regular,web,3.0,0.0,,,0.0,False,No Purchase
U000276,2026-01-14,3,value,web,3.0,0.0,,,0.0,False,No Purchase
U000277,2025-11-15,1,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000278,2025-07-04,2,premium,web,3.0,0.0,,,0.0,False,No Purchase
U000279,2025-07-12,3,value,web,6.0,1.0,2025-10-28 03:54:51,2025-10-28 03:54:51,11794.02,False,High
U000280,2025-07-11,2,premium,web,6.0,1.0,2025-12-03 01:53:51,2025-12-03 01:53:51,4107.71,False,High
U000281,2026-01-09,3,value,mobile,6.0,1.0,2025-11-10 21:19:03,2025-11-10 21:19:03,14921.68,False,High
U000282,2025-11-14,2,regular,web,3.0,0.0,,,0.0,False,No Purchase
U000283,2025-09-21,3,regular,web,3.0,0.0,,,0.0,False,No Purchase
U000284,2025-08-04,2,value,mobile,2.0,0.0,,,0.0,False,No Purchase
U000285,2025-12-23,2,premium,mobile,1.0,0.0,,,0.0,False,No Purchase
U000286,2025-08-04,1,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000287,2025-11-18,1,premium,mobile,2.0,0.0,,,0.0,False,No Purchase
U000288,2025-11-30,3,value,mobile,3.0,0.0,,,0.0,False,No Purchase
U000289,2025-08-24,1,premium,web,6.0,1.0,2026-01-07 03:30:21,2026-01-07 03:30:21,11841.93,False,High
U000290,2025-10-07,1,premium,web,2.0,0.0,,,0.0,False,No Purchase
U000291,2025-08-09,1,regular,mobile,4.0,0.0,,,0.0,False,No Purchase
U000292,2025-09-11,1,value,mobile,7.0,1.0,2026-01-04 22:08:23,2026-01-04 22:08:23,17094.8,False,High
U000293,2026-01-12,3,regular,mobile,1.0,0.0,,,0.0,False,No Purchase
U000294,2025-11-15,2,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000295,2025-12-18,3,premium,web,2.0,0.0,,,0.0,False,No Purchase
U000296,2025-10-14,1,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000297,2025-08-12,2,value,mobile,5.0,0.0,,,0.0,False,No Purchase
U000298,2025-11-20,2,value,web,5.0,0.0,,,0.0,False,No Purchase
U000299,2025-10-06,2,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000300,2025-07-30,3,premium,mobile,2.0,0.0,,,0.0,False,No Purchase
U000301,2025-09-18,3,value,web,5.0,1.0,2025-12-07 08:05:12,2025-12-07 08:05:12,11005.11,False,High
U000302,2025-11-03,3,regular,mobile,5.0,0.0,,,0.0,False,No Purchase
U000303,2025-11-24,1,premium,mobile,3.0,0.0,,,0.0,False,No Purchase
U000304,2025-08-13,1,value,mobile,2.0,0.0,,,0.0,False,No Purchase
U000305,2025-12-24,2,value,web,4.0,0.0,,,0.0,False,No Purchase
U000306,2025-09-11,2,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000307,2025-08-19,3,regular,web,3.0,0.0,,,0.0,False,No Purchase
